DATE;VALOR;AÑO
2024/12;32.249;2024
2024/11;38.497;2024
2024/10;51.535;2024
2024/09;41.306;2024
2024/08;30.676;2024
2024/07;36.260;2024
2024/06;31.526;2024
2024/05;27.435;2024
2024/04;34.264;2024
2024/03;29.653;2024
2024/02;37.232;2024
2024/01;33.128;2024
2023/12;24.807;2023
2023/11;33.009;2023
2023/10;32.057;2023
2023/09;30.837;2023
2023/08;28.190;2023
2023/07;29.351;2023
2023/06;33.374;2023
2023/05;33.558;2023
2023/04;26.763;2023
2023/03;36.200;2023
2023/02;35.881;2023
2023/01;36.939;2023
2022/12;30.042;2022
2022/11;40.335;2022
2022/10;41.077;2022
2022/09;44.134;2022
2022/08;36.646;2022
2022/07;36.000;2022
2022/06;42.877;2022
2022/05;43.931;2022
2022/04;33.103;2022
2022/03;42.940;2022
2022/02;36.634;2022
2022/01;36.388;2022
2021/12;32.984;2021
2021/11;35.970;2021
2021/10;36.147;2021
2021/09;42.408;2021
2021/08;33.243;2021
2021/07;35.123;2021
2021/06;38.180;2021
2021/05;35.418;2021
2021/04;31.976;2021
2021/03;36.770;2021
2021/02;31.870;2021
2021/01;27.969;2021
2020/12;26.688;2020
2020/11;29.185;2020
2020/10;28.351;2020
2020/09;26.975;2020
2020/08;19.838;2020
2020/07;25.821;2020
2020/06;26.890;2020
2020/05;25.630;2020
2020/04;24.155;2020
2020/03;27.300;2020
2020/02;36.702;2020
2020/01;40.217;2020
2019/12;30.661;2019
2019/11;29.464;2019
2019/10;30.028;2019
2019/09;22.696;2019
2019/08;20.526;2019
2019/07;33.765;2019
2019/06;30.642;2019
2019/05;35.280;2019
2019/04;29.219;2019
2019/03;30.908;2019
2019/02;31.054;2019
2019/01;37.048;2019
2018/12;21.177;2018
2018/11;29.283;2018
2018/10;30.339;2018
2018/09;32.870;2018
2018/08;29.090;2018
2018/07;29.480;2018
2018/06;30.671;2018
2018/05;31.366;2018
2018/04;29.050;2018
2018/03;26.527;2018
2018/02;28.400;2018
2018/01;30.073;2018
2017/12;20.749;2017
2017/11;25.257;2017
2017/10;25.217;2017
2017/09;29.638;2017
2017/08;26.924;2017
2017/07;25.545;2017
2017/06;29.439;2017
2017/05;29.041;2017
2017/04;21.400;2017
2017/03;27.805;2017
2017/02;24.549;2017
2017/01;27.279;2017
2016/12;20.682;2016
2016/11;25.826;2016
2016/10;22.828;2016
2016/09;26.915;2016
2016/08;20.593;2016
2016/07;18.707;2016
2016/06;25.342;2016
2016/05;26.558;2016
2016/04;23.873;2016
2016/03;23.065;2016
2016/02;25.023;2016
2016/01;23.295;2016
2015/12;19.404;2015
2015/11;19.224;2015
2015/10;19.326;2015
2015/09;24.237;2015
