Año;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2024;0,1;0,4;0,8;0,7;0,3;0,4;-0,5;0;-0,6;0,6;0,2;0,5
2023;-0,2;0,9;0,4;0,6;0;0,6;0,2;0,5;0,2;0,3;-0,3;0
2022;-0,4;0,8;3;-0,2;0,8;1,9;-0,3;0,3;-0,7;0,3;-0,1;0,2
2021;0;-0,6;1;1,2;0,5;0,5;-0,8;0,5;0,8;1,8;0,3;1,2
2020;-1;-0,1;-0,4;0,3;0;0,5;-0,9;0;0,2;0,5;0,2;0,2
2019;-1,3;0,2;0,4;1;0,2;-0,1;-0,6;-0,1;0;1;0,2;-0,1
2018;-1,1;0,1;0,1;0,8;0,9;0,3;-0,7;0,1;0,2;0,9;-0,1;-0,4
2017;-0,5;-0,4;0;1;-0,1;0;-0,7;0,2;0,2;0,9;0,5;0
2016;-1,9;-0,4;0,6;0,7;0,5;0,5;-0,7;0,1;0;1,1;0,4;0,6
2015;-1,6;0,2;0,6;0,9;0,5;0,3;-0,9;-0,3;-0,3;0,6;0,4;-0,3
2014;-1,3;0;0,2;0,9;0;0;-0,9;0,2;0,2;0,5;-0,1;-0,6
2013;-1,3;0,2;0,4;0,4;0,2;0,1;-0,5;0,3;-0,2;0,4;0,2;0,1
2012;-1,1;0,1;0,7;1,4;-0,1;-0,2;-0,2;0,6;1;0,8;-0,1;0,1
2011;-0,7;0,1;0,7;1,2;0;-0,1;-0,5;0,1;0,2;0,8;0,4;0,1
2010;-1;-0,2;0,7;1,1;0,2;0,2;-0,4;0,3;0,1;0,9;0,5;0,6
2009;-1,2;0;0,2;1;0;0,4;-0,9;0,3;-0,2;0,7;0,5;0
2008;-0,6;0,2;0,9;1,1;0,7;0,6;-0,5;-0,2;0;0,3;-0,4;-0,5
2007;-0,7;0,1;0,8;1,4;0,3;0,2;-0,7;0,1;0,3;1,3;0,7;0,4
2006;-0,4;0;0,7;1,4;0,4;0,2;-0,6;0,2;-0,2;0,4;0,2;0,3
2005;-0,8;0,3;0,8;1,4;0,2;0,2;-0,6;0,4;0,6;0,8;0,2;0,2
2004;-0,7;0;0,7;1,4;0,6;0,2;-0,8;0,4;0,2;1;0,2;-0,1
2003;-0,4;0,2;0,7;0,8;-0,1;0,1;-0,6;0,5;0,3;0,7;0,3;0,2
2002;-0,1;0,1;0,8;1,4;0,4;0;-0,7;0,3;0,4;1;0,2;0,3
2001;0;0,3;0,4;0,5;0,4;0,3;0,2;0,2;0;-0,1;-0,1;0,4
2000;0,3;0,1;0,4;0,4;0,2;0,3;0,6;0,4;0,3;0,3;0,2;0,3
1999;0,4;0,1;0,4;0,4;0;0;0,4;0,4;0,2;0;0,2;0,5
1998;0,2;-0,2;0;0,2;0,1;0,1;0,4;0,3;0,1;0;-0,1;0,3
1997;0,3;-0,1;0;0;0,1;0;0,2;0,4;0,5;0;0,2;0,3
1996;0,6;0,3;0,4;0,6;0,3;-0,1;0,1;0,3;0,2;0,1;0;0,3
1995;1;0,5;0,6;0,5;0;0,1;0;0,3;0,4;0,2;0,3;0,3
1994;1;0;0,3;0,4;0,2;0,1;0,4;0,6;0,3;0,2;0,2;0,4
1993;0,9;0;0,4;0,4;0,3;0,2;0,4;0,6;0,6;0,4;0,2;0,5
1992;1,6;0,7;0,4;-0,1;0,3;0;0,3;0,9;0,8;0,1;0,1;0,3
1991;1,2;-0,1;0,3;0,2;0,3;0,3;1,2;0,4;0,8;0,6;0,2;0,1
1990;1;0,6;0,4;0,2;0;0,3;1,3;0,4;1,1;0,9;-0,1;0,2
1989;1,2;0,1;0,6;0,3;0,1;0,5;1,6;0,2;1,1;0,4;0,2;0,4
1988;0,6;0,3;0,7;-0,3;0;0,4;1,3;1;0,9;0,1;-0,1;0,8
1987;0,8;0,4;0,6;0,2;-0,1;0;1;0;0,9;0,6;-0,2;0,4
1986;2,9;0,4;0,3;0,2;0,3;0,9;1;0,3;1;0,4;-0,2;0,4
1985;1,9;0,7;0,6;1;0,3;-0,2;0,6;0,1;1,1;0,5;0,8;0,4
1984;1,5;0,4;0,8;0,5;0,5;0,7;1,5;0,7;0,2;0,6;0,5;0,7
1983;1,7;0,5;0,6;1,4;0,4;0,6;0,4;1,3;0,8;1,4;1;1,6
1982;2,1;0,8;1;1,3;1,4;1;1,3;0,7;0,1;1;0,3;2,2
1981;2;0,5;2;1;0,5;0,1;2;1,2;0,8;1,1;0,9;1,5
1980;2,8;0,9;0,5;1;0,7;1,6;1,4;1,2;1,1;0,8;1;1,4
1979;1,7;0,8;1;1,5;1,2;0,9;2,2;1;1,3;1,3;0,2;1,5
1978;1,6;1;1,3;2,1;1;1;2,2;1,7;0,8;0,9;0,4;1,4
1977;3,3;1,5;2,4;1,8;0,9;2,8;3,3;3,2;1,4;1,6;0,8;0,8
1976;1,2;1,1;2,3;2;4,6;-0,6;0,6;0,8;1,9;1,4;1,9;1
1975;1,4;1;0,7;1,8;1,2;0,3;1,6;1,6;1,6;0;0,7;1,6
1974;0,6;0,3;2,2;2,2;1,3;0,4;1,2;1,7;1,6;1,1;2,8;1,4
1973;0,7;0,2;0,8;1,4;1,5;1,5;1,1;1,6;1,7;1,6;0,1;1,1
1972;0,1;-0,1;1;0;0,5;0,2;1,4;1;1,4;0,7;0,2;0,8
1971;1,1;-0,1;1,1;1,1;0,6;0,4;0;0,2;1,2;1,1;1,4;1,3
1970;0,5;-0,4;0,8;0,6;-0,7;0,4;1,9;1,6;0,5;1;0,3;0,3
