Date;Close;High;Low;Open;Volume
1990-01-02 05:00:00;35,339999999999996;35,969;35,198;35,969;162070000
1990-01-03 05:00:00;35,969;36,059;35,789;35,876;192330000
1990-01-04 05:00:00;35,876;35,876;35,289;35,567;177000000
1990-01-05 05:00:00;35,567;35,567;35,135000000000005;35,22;158530000
1990-01-08 05:00:00;35,22;35,424;35,054;35,379000000000005;140110000
1990-01-09 05:00:00;35,382999999999996;35,417;34,961;34,962;155210000
1990-01-10 05:00:00;34,962;34,962;34,432;34,731;175990000
1990-01-11 05:00:00;34,731;35,013999999999996;34,731;34,852999999999994;154390000
1990-01-12 05:00:00;34,852999999999994;34,852999999999994;33,949;33,993;183880000
1990-01-15 05:00:00;33,993;33,994;33,657;33,7;140590000
1990-01-16 05:00:00;33,7;34,075;33,337;34,075;186070000
1990-01-17 05:00:00;34,077;34,201;33,626;33,739999999999995;170470000
1990-01-18 05:00:00;33,739999999999995;33,838;33,398;33,819;178590000
1990-01-19 05:00:00;33,819;34,048;33,819;33,915;185590000
1990-01-22 05:00:00;33,914;33,995999999999995;33,028;33,038;148380000
1990-01-23 05:00:00;33,038;33,275999999999996;32,867000000000004;33,161;179300000
1990-01-24 05:00:00;33,161;33,171;32,417;33,025999999999996;207830000
1990-01-25 05:00:00;33,025999999999996;33,233;32,533;32,608;172270000
1990-01-26 05:00:00;32,608999999999995;32,858;32,144;32,58;198190000
1990-01-29 05:00:00;32,58;32,731;32,179;32,519999999999996;150770000
1990-01-30 05:00:00;32,519999999999996;32,573;31,982999999999997;32,298;186030000
1990-01-31 05:00:00;32,298;32,908;32,298;32,908;189660000
1990-02-01 05:00:00;32,908;32,986000000000004;32,775999999999996;32,879000000000005;154580000
1990-02-02 05:00:00;32,879000000000005;33,21;32,809;33,092;164400000
1990-02-05 05:00:00;33,092;33,216;33,045;33,185;130950000
1990-02-06 05:00:00;33,185;33,186;32,82;32,966;134070000
1990-02-07 05:00:00;32,966;33,376;32,655;33,375;186710000
