Date;Close;High;Low;Open;Volume
2012-02-06 00:00:00-05:00;199,44;200,61;199,44;199,75;2300
2012-02-07 00:00:00-05:00;208,57;208,57;199,13;200,85;1600
2012-02-08 00:00:00-05:00;201,39;204,98;201,39;201,86;15300
2012-02-09 00:00:00-05:00;201,7;203,03;201,7;202,09;3000
2012-02-10 00:00:00-05:00;201,24;201,24;197,41;197,41;4400
2012-02-13 00:00:00-05:00;202,49;202,49;199,91;200,38;2200
2012-02-14 00:00:00-05:00;199,13;199,13;197,26;197,8;7400
2012-02-15 00:00:00-05:00;204,83;204,83;198,9;198,9;4500
2012-02-16 00:00:00-05:00;198,9;200,61;198,9;200,61;600
2012-02-17 00:00:00-05:00;206,0;206,0;199,91;200,07;3600
2012-02-21 00:00:00-05:00;200,07;200,07;200,07;200,07;0
2012-02-22 00:00:00-05:00;202,09;203,81;201,63;203,81;1800
2012-02-23 00:00:00-05:00;202,49;202,64;202,09;202,64;600
2012-02-24 00:00:00-05:00;204,44;204,44;203,03;203,5;3200
2012-02-27 00:00:00-05:00;201,08;202,88;201,08;202,88;2400
2012-02-28 00:00:00-05:00;202,09;204,05;202,09;202,95;3900
2012-02-29 00:00:00-05:00;205,06;205,06;200,46;200,46;2100
2012-03-01 00:00:00-05:00;202,09;202,17;202,09;202,17;1300
2012-03-02 00:00:00-05:00;202,33;203,11;201,55;202,17;3900
2012-03-05 00:00:00-05:00;200,07;200,07;197,73;197,73;800
2012-03-06 00:00:00-05:00;197,02;197,02;191,17;191,95;6600
2012-03-07 00:00:00-05:00;194,68;194,68;193,59;194,53;16000
2012-03-08 00:00:00-05:00;195,85;197,65;195,85;197,26;1300
2012-03-09 00:00:00-05:00;196,63;198,9;196,63;198,82;6000
2012-03-12 00:00:00-04:00;198,82;198,82;198,82;198,82;0
2012-03-13 00:00:00-04:00;198,04;198,9;196,4;198,9;46200
2012-03-14 00:00:00-04:00;196,55;196,55;196,55;196,55;200
2012-03-15 00:00:00-04:00;198,04;198,66;198,04;198,43;600
2012-03-16 00:00:00-04:00;201,78;201,78;201,78;201,78;100
2012-03-19 00:00:00-04:00;205,06;205,06;201,78;202,09;6600
2012-03-20 00:00:00-04:00;201,16;202,09;201,16;202,09;1400
2012-03-21 00:00:00-04:00;201,47;201,63;201,47;201,63;700
2012-03-22 00:00:00-04:00;199,99;200,77;199,21;200,07;1500
2012-03-23 00:00:00-04:00;201,24;201,24;201,24;201,24;200
2012-03-26 00:00:00-04:00;206,31;206,31;203,34;204,59;1200
2012-03-27 00:00:00-04:00;206,39;206,39;203,34;203,34;1100
2012-03-28 00:00:00-04:00;203,34;203,97;200,46;202,33;6700
2012-03-29 00:00:00-04:00;202,88;202,88;198,97;199,29;2200
2012-03-30 00:00:00-04:00;202,41;202,88;202,41;202,64;1800
2012-04-02 00:00:00-04:00;205,92;205,92;203,58;203,58;1900
2012-04-03 00:00:00-04:00;206,39;206,39;202,88;202,88;5000
2012-04-04 00:00:00-04:00;201,24;201,63;201,16;201,63;900
2012-04-05 00:00:00-04:00;202,25;202,49;202,25;202,25;2000
2012-04-09 00:00:00-04:00;199,99;199,99;196,01;196,01;3400
2012-04-10 00:00:00-04:00;198,97;198,97;193,04;193,67;3300
2012-04-11 00:00:00-04:00;195,15;195,23;193,51;194,68;14600
2012-04-12 00:00:00-04:00;194,68;194,68;194,68;194,68;0
2012-04-13 00:00:00-04:00;197,41;198,27;196,87;197,26;2200
2012-04-16 00:00:00-04:00;196,63;196,63;195,38;196,16;3000
2012-04-17 00:00:00-04:00;198,12;198,12;198,12;198,12;1400
2012-04-18 00:00:00-04:00;196,71;198,51;196,71;197,41;38700
2012-04-19 00:00:00-04:00;198,74;199,6;197,1;197,1;19300
2012-04-20 00:00:00-04:00;198,74;199,05;197,73;198,9;21500
2012-04-23 00:00:00-04:00;198,19;198,19;194,06;194,92;7400
2012-04-24 00:00:00-04:00;192,11;196,55;192,11;195,85;4300
2012-04-25 00:00:00-04:00;198,97;199,75;198,51;199,75;2600
2012-04-26 00:00:00-04:00;199,21;199,21;199,21;199,21;300
2012-04-27 00:00:00-04:00;199,99;201,55;199,75;201,16;8200
2012-04-30 00:00:00-04:00;200,07;200,07;197,8;198,74;3300
2012-05-01 00:00:00-04:00;201,0;202,41;201,0;202,41;300
2012-05-02 00:00:00-04:00;200,69;201,47;200,61;201,39;15000
2012-05-03 00:00:00-04:00;199,68;199,68;199,68;199,68;300
