Date;Close;High;Low;Open;Volume
1998-12-24 05:00:00;119,23;120,54;118,7;120,54;1500
1998-12-28 05:00:00;120,36;120,36;119,31;119,49;2500
1998-12-29 05:00:00;121,67;121,67;121,67;121,67;100
1998-12-30 05:00:00;121,59;121,59;121,32;121,32;800
1998-12-31 05:00:00;122,37;123,16;122,37;122,72;3300
1999-01-04 05:00:00;122,81;124,56;121,24;121,24;13000
1999-01-05 05:00:00;122,37;124,82;122,37;124,21;4400
1999-01-06 05:00:00;125,0;126,4;124,39;126,4;12900
1999-01-07 05:00:00;125,79;130,95;125,0;125,44;86200
1999-01-08 05:00:00;126,57;129,72;126,57;129,72;25200
1999-01-11 05:00:00;129,81;129,98;128,76;129,98;14200
1999-01-12 05:00:00;128,85;129,46;126,4;126,66;5100
1999-01-13 05:00:00;122,9;125,26;122,9;123,86;5500
1999-01-14 05:00:00;124,21;124,39;120,71;121,76;127300
1999-01-15 05:00:00;123,16;123,6;122,55;123,6;15800
1999-01-19 05:00:00;123,16;123,16;120,45;121,32;26700
1999-01-20 05:00:00;121,32;122,2;120,8;120,89;40900
1999-01-21 05:00:00;120,89;121,06;119,75;120,36;59900
1999-01-22 05:00:00;119,14;119,58;117,83;118,0;7000
1999-01-25 05:00:00;119,23;120,36;118,79;120,36;29300
1999-01-26 05:00:00;119,93;120,01;118,61;120,01;1800
1999-01-27 05:00:00;122,2;122,2;119,05;119,05;15100
1999-01-28 05:00:00;119,75;119,75;117,56;117,56;6800
1999-01-29 05:00:00;117,3;118,18;117,3;118,18;400
1999-02-01 05:00:00;119,14;120,36;119,14;119,14;2900
1999-02-02 05:00:00;118,7;119,66;118,61;119,23;2800
1999-02-03 05:00:00;119,31;119,75;118,96;119,31;1100
1999-02-04 05:00:00;119,58;123,25;119,58;122,81;6800
1999-02-05 05:00:00;123,42;125,61;123,42;124,47;44400
1999-02-08 05:00:00;124,82;125,17;123,34;123,86;22300
1999-02-09 05:00:00;123,86;123,86;121,5;121,5;14200
1999-02-10 05:00:00;122,37;122,37;121,24;121,76;4900
1999-02-11 05:00:00;121,06;122,2;120,54;120,54;10100
1999-02-12 05:00:00;120,71;121,06;119,93;119,93;2500
1999-02-16 05:00:00;122,2;122,2;118,79;118,79;6300
1999-02-17 05:00:00;118,26;119,93;117,56;117,56;5100
1999-02-18 05:00:00;117,83;118,61;117,13;118,44;31000
1999-02-19 05:00:00;118,88;119,58;118,61;119,4;8100
1999-02-22 05:00:00;118,96;121,76;118,96;121,41;10000
1999-02-23 05:00:00;121,67;121,76;119,66;120,36;5300
1999-02-24 05:00:00;122,11;122,11;120,01;120,01;2800
1999-02-25 05:00:00;119,31;120,01;118,96;120,01;6800
1999-02-26 05:00:00;120,01;120,01;120,01;120,01;700
1999-03-01 05:00:00;119,14;119,23;118,61;118,61;2100
1999-03-02 05:00:00;118,88;120,01;117,56;117,56;47700
1999-03-03 05:00:00;119,05;119,05;116,78;116,78;3900
1999-03-04 05:00:00;116,69;118,26;116,69;117,13;2900
1999-03-05 05:00:00;118,53;121,06;118,53;121,06;4200
1999-03-08 05:00:00;120,01;121,85;120,01;121,85;6700
1999-03-09 05:00:00;121,24;121,24;120,36;120,8;5600
1999-03-10 05:00:00;120,89;122,99;120,63;122,46;26800
1999-03-11 05:00:00;123,07;124,39;122,81;123,77;13900
1999-03-12 05:00:00;124,82;125,17;123,25;123,25;7900
1999-03-15 05:00:00;123,25;124,04;122,64;123,51;6700
1999-03-16 05:00:00;123,34;123,69;122,9;122,99;7500
1999-03-17 05:00:00;123,6;123,6;122,46;122,64;3500
1999-03-18 05:00:00;123,95;125,26;123,25;125,26;11300
1999-03-19 05:00:00;127,09;127,09;125,42;125,42;5300
1999-03-22 05:00:00;124,89;126,21;124,89;125,77;24900
1999-03-23 05:00:00;125,16;125,16;121,91;122,61;16700
1999-03-24 05:00:00;122,08;123,58;121,82;122,7;76000
1999-03-25 05:00:00;122,7;124,28;122,7;123,14;3800
1999-03-26 05:00:00;121,91;123,05;121,47;122,17;4200
1999-03-29 05:00:00;123,49;124,8;123,14;124,19;5300
1999-03-30 05:00:00;124,1;124,1;122,7;123,93;16500
1999-03-31 05:00:00;123,22;123,84;122,0;122,17;10600
1999-04-01 05:00:00;122,35;124,54;122,35;123,58;12300
1999-04-05 04:00:00;123,93;125,95;123,93;125,07;11900
1999-04-06 04:00:00;124,37;125,07;122,87;122,87;52800
1999-04-07 04:00:00;123,58;124,63;123,22;124,19;45200
1999-04-08 04:00:00;124,01;125,95;123,84;125,95;12000
1999-04-09 04:00:00;124,1;126,12;124,1;125,33;25100
1999-04-12 04:00:00;125,33;129,28;125,33;129,02;16200
1999-04-13 04:00:00;129,98;130,86;129,28;130,6;68000
1999-04-14 04:00:00;131,47;139,99;130,6;136,92;300700
1999-04-15 04:00:00;138,67;145,25;138,67;142,18;1005500
1999-04-16 04:00:00;143,06;145,43;142,53;143,76;170800
1999-04-19 04:00:00;143,76;150,78;143,76;145,25;864200
1999-04-20 04:00:00;145,61;145,69;142,97;143,5;140800
1999-04-21 04:00:00;144,46;145,17;142,8;144,11;83200
1999-04-22 04:00:00;144,29;144,46;140,43;141,83;86900
1999-04-23 04:00:00;141,13;144,29;141,13;143,94;127400
1999-04-26 04:00:00;144,64;144,64;142,09;142,53;38100
1999-04-27 04:00:00;142,18;146,04;141,48;145,34;84500
1999-04-28 04:00:00;146,04;153,77;146,04;153,07;138200
1999-04-29 04:00:00;153,42;156,14;153,42;154,21;733600
1999-04-30 04:00:00;154,12;155,17;150,34;152,36;527700
1999-05-03 04:00:00;152,89;156,4;152,36;155,87;181000
1999-05-04 04:00:00;156,84;157,37;153,86;154,91;415700
1999-05-05 04:00:00;155,26;157,45;153,5;156,75;293900
1999-05-06 04:00:00;156,75;158,68;155,52;158,07;139600
1999-05-07 04:00:00;158,07;159,03;155,96;158,42;32100
1999-05-10 04:00:00;158,42;160,0;157,02;157,54;84600
1999-05-11 04:00:00;158,07;158,51;155,52;157,28;152800
1999-05-12 04:00:00;156,84;156,84;151,92;153,33;167300
1999-05-13 04:00:00;152,28;153,94;151,84;152,71;126900
1999-05-14 04:00:00;152,54;154,38;151,92;152,28;36800
1999-05-17 04:00:00;152,28;153,15;150,61;152,1;23600
1999-05-18 04:00:00;151,49;151,57;147,19;148,41;53100
1999-05-19 04:00:00;148,41;150,7;147,98;149,91;55400
1999-05-20 04:00:00;150,52;151,13;147,98;148,15;36500
1999-05-21 04:00:00;147,45;149,38;147,1;148,06;10300
1999-05-24 04:00:00;148,24;151,05;146,75;147,45;35000
1999-05-25 04:00:00;148,77;149,64;146,04;146,04;123400
1999-05-26 04:00:00;143,67;145,43;143,24;144,64;46400
1999-05-27 04:00:00;143,67;144,29;140,43;141,3;35100
1999-05-28 04:00:00;140,69;141,83;138,5;138,5;49400
1999-06-01 04:00:00;139,9;145,52;139,64;144,46;215900
1999-06-02 04:00:00;144,82;144,82;142,53;144,29;11700
1999-06-03 04:00:00;143,94;145,43;143,32;144,73;57600
1999-06-04 04:00:00;144,73;147,98;143,94;147,45;5500
1999-06-07 04:00:00;148,15;149,2;147,45;147,89;13900
1999-06-08 04:00:00;147,19;148,33;145,52;146,04;44700
1999-06-09 04:00:00;146,31;148,33;144,64;144,64;90300
1999-06-10 04:00:00;144,82;147,1;144,82;147,1;59900
1999-06-11 04:00:00;147,8;148,77;145,78;145,78;3400
1999-06-14 04:00:00;147,8;150,78;147,8;149,29;222900
1999-06-15 04:00:00;150,26;151,75;149,64;150,61;62700
1999-06-16 04:00:00;151,31;151,31;148,85;151,22;100700
1999-06-17 04:00:00;150,43;151,75;149,38;151,75;35700
1999-06-18 04:00:00;151,52;152,31;151,08;152,13;8600
1999-06-21 04:00:00;152,57;152,57;148,44;148,44;66400
1999-06-22 04:00:00;148,96;148,96;146,15;146,5;56100
1999-06-23 04:00:00;146,5;147,56;145,27;147,2;7700
1999-06-24 04:00:00;146,68;146,68;143,86;143,86;101900
1999-06-25 04:00:00;144,03;146,41;144,03;144,74;38000
1999-06-28 04:00:00;146,15;148,08;146,15;147,47;85300
1999-06-29 04:00:00;146,15;146,59;145,53;146,59;6900
1999-06-30 04:00:00;146,5;148,35;145,62;146,5;27100
1999-07-01 04:00:00;147,29;149,23;146,32;147,91;13700
1999-07-02 04:00:00;148,61;151,08;148,61;150,9;54600
1999-07-06 04:00:00;151,43;151,43;149,49;150,2;15200
1999-07-07 04:00:00;150,2;150,2;148,97;149,32;38700
1999-07-08 04:00:00;148,79;150,73;147,91;148,26;85900
1999-07-09 04:00:00;148,08;152,05;148,08;150,64;31700
