,,,
,,,
,,,
,,,
,,,
,,,
,,,
PERIODO,VALOR,TIPO DATO,NOTA
2024M12,32.249,Provisional,
2024M11,38.497,Provisional,
2024M10,51.535,Provisional,
2024M09,41.306,Provisional,
2024M08,30.676,Provisional,
2024M07,36.260,Provisional,
2024M06,31.526,Provisional,
2024M05,27.435,Provisional,
2024M04,34.264,Provisional,
2024M03,29.653,Provisional,
2024M02,37.232,Provisional,
2024M01,33.128,Provisional,
2023M12,24.807,Definitivo,
2023M11,33.009,Definitivo,
2023M10,32.057,Definitivo,
2023M09,30.837,Definitivo,
2023M08,28.190,Definitivo,
2023M07,29.351,Definitivo,
2023M06,33.374,Definitivo,
2023M05,33.558,Definitivo,
2023M04,26.763,Definitivo,
2023M03,36.200,Definitivo,
2023M02,35.881,Definitivo,
2023M01,36.939,Definitivo,
2022M12,30.042,Definitivo,
2022M11,40.335,Definitivo,
2022M10,41.077,Definitivo,
2022M09,44.134,Definitivo,
2022M08,36.646,Definitivo,
2022M07,36.000,Definitivo,
2022M06,42.877,Definitivo,
2022M05,43.931,Definitivo,
2022M04,33.103,Definitivo,
2022M03,42.940,Definitivo,
2022M02,36.634,Definitivo,
2022M01,36.388,Definitivo,
2021M12,32.984,Definitivo,
2021M11,35.970,Definitivo,
2021M10,36.147,Definitivo,
2021M09,42.408,Definitivo,
2021M08,33.243,Definitivo,
2021M07,35.123,Definitivo,
2021M06,38.180,Definitivo,
2021M05,35.418,Definitivo,
2021M04,31.976,Definitivo,
2021M03,36.770,Definitivo,
2021M02,31.870,Definitivo,
2021M01,27.969,Definitivo,
2020M12,26.688,Definitivo,
2020M11,29.185,Definitivo,
2020M10,28.351,Definitivo,
2020M09,26.975,Definitivo,
2020M08,19.838,Definitivo,
2020M07,25.821,Definitivo,
2020M06,26.890,Definitivo,
2020M05,25.630,Definitivo,
2020M04,24.155,Definitivo,
2020M03,27.300,Definitivo,
2020M02,36.702,Definitivo,
2020M01,40.217,Definitivo,
2019M12,30.661,Definitivo,
2019M11,29.464,Definitivo,
2019M10,30.028,Definitivo,
2019M09,22.696,Definitivo,
2019M08,20.526,Definitivo,
2019M07,33.765,Definitivo,
2019M06,30.642,Definitivo,
2019M05,35.280,Definitivo,
2019M04,29.219,Definitivo,
2019M03,30.908,Definitivo,
2019M02,31.054,Definitivo,
2019M01,37.048,Definitivo,
2018M12,21.177,Definitivo,
2018M11,29.283,Definitivo,
2018M10,30.339,Definitivo,
2018M09,32.870,Definitivo,
2018M08,29.090,Definitivo,
2018M07,29.480,Definitivo,
2018M06,30.671,Definitivo,
2018M05,31.366,Definitivo,
2018M04,29.050,Definitivo,
2018M03,26.527,Definitivo,
2018M02,28.400,Definitivo,
2018M01,30.073,Definitivo,
2017M12,20.749,Definitivo,
2017M11,25.257,Definitivo,
2017M10,25.217,Definitivo,
2017M09,29.638,Definitivo,
2017M08,26.924,Definitivo,
2017M07,25.545,Definitivo,
2017M06,29.439,Definitivo,
2017M05,29.041,Definitivo,
2017M04,21.400,Definitivo,
2017M03,27.805,Definitivo,
2017M02,24.549,Definitivo,
2017M01,27.279,Definitivo,
2016M12,20.682,Definitivo,
2016M11,25.826,Definitivo,
2016M10,22.828,Definitivo,
2016M09,26.915,Definitivo,
2016M08,20.593,Definitivo,
2016M07,18.707,Definitivo,
2016M06,25.342,Definitivo,
2016M05,26.558,Definitivo,
2016M04,23.873,Definitivo,
2016M03,23.065,Definitivo,
2016M02,25.023,Definitivo,
2016M01,23.295,Definitivo,
2015M12,19.404,Definitivo,
2015M11,19.224,Definitivo,
2015M10,19.326,Definitivo,
2015M09,24.237,Definitivo,
2015M08,19.375,Definitivo,
2015M07,21.978,Definitivo,
2015M06,21.887,Definitivo,
2015M05,19.815,Definitivo,
2015M04,18.949,Definitivo,
2015M03,20.068,Definitivo,
2015M02,21.464,Definitivo,
2015M01,21.040,Definitivo,
2014M12,15.995,Definitivo,
2014M11,16.540,Definitivo,
2014M10,17.919,Definitivo,
2014M09,19.820,Definitivo,
2014M08,15.321,Definitivo,
2014M07,17.949,Definitivo,
2014M06,16.987,Definitivo,
2014M05,17.790,Definitivo,
2014M04,15.528,Definitivo,
2014M03,16.545,Definitivo,
2014M02,16.479,Definitivo,
2014M01,17.429,Definitivo,
2013M12,12.382,Definitivo,
2013M11,13.926,Definitivo,
2013M10,14.984,Definitivo,
2013M09,14.888,Definitivo,
2013M08,12.146,Definitivo,
2013M07,14.055,Definitivo,
2013M06,14.402,Definitivo,
2013M05,18.604,Definitivo,
2013M04,17.698,Definitivo,
2013M03,16.301,Definitivo,
2013M02,24.494,Definitivo,
2013M01,25.823,Definitivo,
2012M12,17.648,Definitivo,
2012M11,19.183,Definitivo,
2012M10,19.150,Definitivo,
2012M09,21.500,Definitivo,
2012M08,20.853,Definitivo,
2012M07,24.035,Definitivo,
2012M06,24.308,Definitivo,
2012M05,25.946,Definitivo,
2012M04,21.367,Definitivo,
2012M03,24.679,Definitivo,
2012M02,26.169,Definitivo,
2012M01,29.035,Definitivo,
2011M12,24.330,Definitivo,
2011M11,27.938,Definitivo,
2011M10,22.317,Definitivo,
2011M09,31.284,Definitivo,
2011M08,29.502,Definitivo,
2011M07,29.458,Definitivo,
2011M06,32.533,Definitivo,
2011M05,37.440,Definitivo,
2011M04,31.275,Definitivo,
2011M03,42.982,Definitivo,
2011M02,49.892,Definitivo,
2011M01,49.510,Definitivo,
2010M12,39.205,Definitivo,
2010M11,43.797,Definitivo,
2010M10,39.326,Definitivo,
2010M09,53.127,Definitivo,
2010M08,50.142,Definitivo,
2010M07,55.709,Definitivo,
2010M06,56.734,Definitivo,
2010M05,55.489,Definitivo,
2010M04,50.779,Definitivo,
2010M03,54.135,Definitivo,
2010M02,55.194,Definitivo,
2010M01,53.898,Definitivo,
2009M12,47.438,Definitivo,
2009M11,51.769,Definitivo,
2009M10,52.250,Definitivo,
2009M09,62.971,Definitivo,
2009M08,51.970,Definitivo,
2009M07,59.605,Definitivo,
2009M06,61.832,Definitivo,
2009M05,57.438,Definitivo,
2009M04,50.266,Definitivo,
2009M03,52.268,Definitivo,
2009M02,50.535,Definitivo,
2009M01,52.547,Definitivo,
2008M12,48.490,Definitivo,
2008M11,51.104,Definitivo,
2008M10,63.949,Definitivo,
2008M09,66.239,Definitivo,
2008M08,56.020,Definitivo,
2008M07,72.813,Definitivo,
2008M06,68.475,Definitivo,
2008M05,77.157,Definitivo,
2008M04,86.127,Definitivo,
2008M03,70.210,Definitivo,
2008M02,81.997,Definitivo,
2008M01,93.838,Definitivo,
2007M12,71.794,Definitivo,
2007M11,93.262,Definitivo,
2007M10,97.586,Definitivo,
2007M09,102.131,Definitivo,
2007M08,90.763,Definitivo,
2007M07,104.808,Definitivo,
2007M06,111.139,Definitivo,
2007M05,118.669,Definitivo,
2007M04,97.492,Definitivo,
2007M03,116.651,Definitivo,
2007M02,109.769,Definitivo,
2007M01,124.826,Definitivo,
2006M12,86.607,Definitivo,
2006M11,111.523,Definitivo,
2006M10,111.393,Definitivo,
2006M09,114.685,Definitivo,
2006M08,98.384,Definitivo,
2006M07,107.143,Definitivo,
2006M06,123.081,Definitivo,
2006M05,126.137,Definitivo,
2006M04,97.124,Definitivo,
2006M03,127.233,Definitivo,
2006M02,114.617,Definitivo,
2006M01,124.244,Definitivo,
2005M12,97.380,Definitivo,
2005M11,107.327,Definitivo,
2005M10,102.511,Definitivo,
2005M09,129.128,Definitivo,
2005M08,91.499,Definitivo,
2005M07,97.465,Definitivo,
2005M06,112.619,Definitivo,
2005M05,108.144,Definitivo,
2005M04,108.238,Definitivo,
2005M03,97.164,Definitivo,
2005M02,101.882,Definitivo,
2005M01,104.256,Definitivo,
2004M12,83.547,Definitivo,
2004M11,92.631,Definitivo,
2004M10,89.592,Definitivo,
2004M09,98.872,Definitivo,
2004M08,83.484,Definitivo,
2004M07,93.946,Definitivo,
2004M06,98.239,Definitivo,
2004M05,98.993,Definitivo,
2004M04,85.190,Definitivo,
2004M03,98.670,Definitivo,
2004M02,92.586,Definitivo,
2004M01,91.914,Definitivo,
2003M12,72.502,Definitivo,
2003M11,78.483,Definitivo,
2003M10,90.806,Definitivo,
2003M09,86.018,Definitivo,
2003M08,67.572,Definitivo,
2003M07,83.387,Definitivo,
2003M06,82.968,Definitivo,
2003M05,86.628,Definitivo,
2003M04,77.475,Definitivo,
2003M03,85.577,Definitivo,
2003M02,88.381,Definitivo,
2003M01,89.642,Definitivo,
,,,
Dato: .. Dato no disponible,,,
Dato: . Protegido por secreto estadístico,,,
