,,,,,
,,,,,
Date,Close,High,Low,Open,Volume
2000-01-03,1.455.219.970.703.120,1478.0,14.383.599.853.515.600,1469.25,931800000
2000-01-04,13.994.200.439.453.100,1.455.219.970.703.120,13.974.300.537.109.300,1.455.219.970.703.120,1009000000
2000-01-05,14.021.099.853.515.600,141.327.001.953.125,13.776.800.537.109.300,13.994.200.439.453.100,1085500000
2000-01-06,1.403.449.951.171.870,14.119.000.244.140.600,13.920.999.755.859.300,14.021.099.853.515.600,1092300000
2000-01-07,1.441.469.970.703.120,1.441.469.970.703.120,140.072.998.046.875,1.403.449.951.171.870,1225200000
2000-01-10,14.575.999.755.859.300,14.643.599.853.515.600,1.441.469.970.703.120,1.441.469.970.703.120,1064800000
2000-01-11,143.856.005.859.375,14.586.600.341.796.800,14.344.200.439.453.100,14.575.999.755.859.300,1014000000
2000-01-12,1432.25,14.425.999.755.859.300,14.270.799.560.546.800,143.856.005.859.375,974600000
2000-01-13,14.496.800.537.109.300,1.454.199.951.171.870,1432.25,1432.25,1030400000
2000-01-14,14.651.500.244.140.600,1473.0,14.496.800.537.109.300,14.496.800.537.109.300,1085900000
2000-01-18,14.551.400.146.484.300,14.651.500.244.140.600,1.451.300.048.828.120,14.651.500.244.140.600,1056700000
2000-01-19,14.559.000.244.140.600,14.613.900.146.484.300,14.486.800.537.109.300,14.551.400.146.484.300,1087800000
2000-01-20,14.455.699.462.890.600,14.657.099.609.375,14.385.400.390.625,14.559.000.244.140.600,1100700000
2000-01-21,14.413.599.853.515.600,14.531.800.537.109.300,14.395.999.755.859.300,14.455.699.462.890.600,1209800000
2000-01-24,1.401.530.029.296.870,14.540.899.658.203.100,13.954.200.439.453.100,14.413.599.853.515.600,1115800000
2000-01-25,1.410.030.029.296.870,1.414.260.009.765.620,1.388.489.990.234.370,1.401.530.029.296.870,1073700000
2000-01-26,14.040.899.658.203.100,141.272.998.046.875,14.001.600.341.796.800,1.410.030.029.296.870,1117300000
2000-01-27,139.856.005.859.375,14.188.599.853.515.600,1.370.989.990.234.370,14.040.899.658.203.100,1129500000
2000-01-28,13.601.600.341.796.800,139.856.005.859.375,1.356.199.951.171.870,139.856.005.859.375,1095800000
2000-01-31,13.944.599.609.375,139.447.998.046.875,13.501.400.146.484.300,13.601.600.341.796.800,993800000
2000-02-01,1.409.280.029.296.870,1.412.489.990.234.370,13.847.900.390.625,13.944.599.609.375,981000000
2000-02-02,14.091.199.951.171.800,14.206.099.853.515.600,1.403.489.990.234.370,1.409.280.029.296.870,1038600000
